text,intent,,
turn off the light,0,,
deactivate the illumination,0,,
shut down the bulb,0,,
terminate the brightness,0,,
disable the glow,0,,
silence the light,0,,
power down the light,0,,
depower the bulb,0,,
shut off the current,0,,
disconnect the lamp,0,,
halt the electricity,0,,
stop the voltage,0,,
cut the light,0,,
sever the glow,0,,
slice the brightness,0,,
chop the beam,0,,
disconnect the bulb,0,,
interrupt the radiance,0,,
kill the light,0,,
murder the glow,0,,
destroy the brightness,0,,
eliminate the bulb,0,,
annihilate the beam,0,,
obliterate the radiance,0,,
disable the lamp,0,,
decommission the bulb,0,,
cripple the fixture,0,,
neutralize the light,0,,
incapacitate the glow,0,,
sabotage the brightness,0,,
extinguish the light,0,,
smother the glow,0,,
quench the brightness,0,,
snuff the bulb,0,,
douse the beam,0,,
stifle the radiance,0,,
switch off the light,0,,
toggle off the glow,0,,
flip off the brightness,0,,
shut off the bulb,0,,
deactivate the beam,0,,
power down the radiance,0,,
please turn the light off,0,,
kindly deactivate the glow,0,,
politely kill the brightness,0,,
gently silence the bulb,0,,
courteously disable the beam,0,,
respectfully terminate the radiance,0,,
light off,0,,
illumination terminated,0,,
brightness halted,0,,
glow deactivated,0,,
beam silenced,0,,
radiance stopped,0,,
can you shut off the light,0,,
could you kill the glow,0,,
would you silence the brightness,0,,
might you disable the bulb,0,,
are you able to terminate the beam,0,,
is it possible to stop the radiance,0,,
it's too bright,0,,
the glare is excessive,0,,
luminosity is overwhelming,0,,
radiance is overpowering,0,,
illumination is intense,0,,
brightness is unbearable,0,,
i'm going to sleep,0,,
bedtime approaches,0,,
slumber time has come,0,,
I'm retiring for the night,0,,
time to rest my eyes,0,,
entering sleep mode,0,,
no need of light,0,,
illumination unnecessary,0,,
brightness redundant,0,,
glow superfluous,0,,
radiance dispensable,0,,
luminosity unrequired,0,,
dark is better,0,,
darkness preferable,0,,
shadows superior,0,,
blackout improved,0,,
obscurity enhanced,0,,
gloom optimal,0,,
the light hurts my eyes,0,,
brightness causes ocular pain,0,,
glow induces discomfort,0,,
radiance stings vision,0,,
illumination strains sight,0,,
luminosity irritates optics,0,,
reduce brightness,0,,
dim the intensity,0,,
lower the luminance,0,,
decrease illumination,0,,
soften the glow,0,,
dampen the radiance,0,,
cut off the light,0,,
sever the illumination,0,,
disconnect the brightness,0,,
terminate the glow,0,,
halt the radiance,0,,
stop the luminosity,0,,
dim the room,0,,
lower room illumination,0,,
soften ambient light,0,,
reduce space brightness,0,,
subdue area glow,0,,
mute environment radiance,0,,
shut the light,0,,
close the illumination,0,,
seal the brightness,0,,
lock the glow,0,,
secure the radiance,0,,
block the luminosity,0,,
stop lighting,0,,
cease illumination,0,,
halt brightness,0,,
discontinue glow,0,,
end radiance,0,,
terminate luminosity,0,,
off the light,0,,
illumination disabled,0,,
brightness nullified,0,,
glow ceased,0,,
beam discontinued,0,,
radiance abolished,0,,
deactivate light,0,,
disable illumination,0,,
switch off brightness,0,,
power down glow,0,,
terminate radiance,0,,
halt luminosity,0,,
shut off light,0,,
kill the light,0,,
murder the glow,0,,
destroy the brightness,0,,
eliminate the bulb,0,,
annihilate the beam,0,,
obliterate the radiance,0,,
light off now.,0,,
illumination cease immediately,0,,
brightness halt instantly,0,,
glow terminate now,0,,
beam discontinue at once,0,,
radiance stop this moment,0,,
flip the light off,0,,
switch the glow off,0,,
toggle the brightness off,0,,
throw the beam off,0,,
snap the radiance off,0,,
click the luminosity off,0,,
end of light,0,,
termination of illumination,0,,
conclusion of brightness,0,,
finale of glow,0,,
cessation of radiance,0,,
completion of luminosity,0,,
power off light,0,,
electricity cut to glow,0,,
current stop to brightness,0,,
voltage halt to beam,0,,
energy disconnect to radiance,0,,
charge terminate to luminosity,0,,
put the light out,0,,
extinguish the glow,0,,
douse the brightness,0,,
quench the beam,0,,
smother the radiance,0,,
snuff the luminosity,0,,
turn the lamp off,0,,
deactivate the fixture,0,,
power down the illuminator,0,,
switch off the luminaire,0,,
disable the sconce,0,,
silence the lantern,0,,
turn the bulbs off,0,,
deenergize the filaments,0,,
power down the globes,0,,
switch off the LEDs,0,,
disable the tubes,0,,
silence the incandescents,0,,
switch that off,0,,
toggle that off,0,,
flip that off,0,,
shut that down,0,,
deactivate that,0,,
terminate that,0,,
depower the filament,0,,
shut off the globe,0,,
disconnect the LED,0,,
halt the incandescent,0,,
stop the halogen,0,,
end of bulb,0,,
termination of filament,0,,
conclusion of globe,0,,
finale of LED,0,,
cessation of incandescent,0,,
completion of halogen,0,,
kill the overhead light,0,,
murder the ceiling glow,0,,
destroy the top brightness,0,,
eliminate the aerial beam,0,,
annihilate the elevated radiance,0,,
obliterate the suspended luminosity,0,,
cut the bulb,0,,
sever the filament,0,,
slice the globe,0,,
chop the LED,0,,
disconnect the incandescent,0,,
interrupt the halogen,0,,
power off the bulb,0,,
electricity cut to filament,0,,
current stop to globe,0,,
voltage halt to LED,0,,
energy disconnect to incandescent,0,,
charge terminate to halogen,0,,
toggle off the filament,0,,
flip off the globe,0,,
shut off the LED,0,,
deactivate the incandescent,0,,
power down the halogen,0,,
bulbs off,0,,
filaments deactivated,0,,
globes terminated,0,,
LEDs silenced,0,,
incandescents disabled,0,,
halogens powered down,0,,
it’s so bright,0,,
illumination is extreme,0,,
luminosity is intense,0,,
radiance is blinding,0,,
glow is dazzling,0,,
brightness is glaring,0,,
it’s so sunny,0,,
daylight-like inside,0,,
sun-filled atmosphere,0,,
solar-bright environment,0,,
noon-day radiance,0,,
summer-like luminosity,0,,
done with bright,0,,
finished with illumination,0,,
completed with luminosity,0,,
over with radiance,0,,
concluded with glow,0,,
ended with brightness,0,,
make it darker,0,,
increase obscurity,0,,
enhance shadows,0,,
deepen gloom,0,,
intensify blackness,0,,
amplify dimness,0,,
save some energy,0,,
conserve electricity,0,,
preserve power,0,,
reduce consumption,0,,
economize voltage,0,,
husband resources,0,,
it’s bed time,0,,
sleep period begins,0,,
rest time commences,0,,
slumber phase starts,0,,
repose interval activates,0,,
night cycle initiates,0,,
dim the place,0,,
lower location illumination,0,,
soften venue brightness,0,,
reduce area glow,0,,
subdue site radiance,0,,
mute spot luminosity,0,,
sunlight is enough,0,,
natural illumination suffices,0,,
daytime brightness adequate,0,,
solar glow sufficient,0,,
outdoor radiance ample,0,,
external luminosity plenty,0,,
too glaring,0,,
excessively dazzling,0,,
overpoweringly shiny,0,,
painfully brilliant,0,,
uncomfortably luminous,0,,
harshly radiant,0,,
make room cozier,0,,
increase ambient comfort,0,,
enhance intimate atmosphere,0,,
improve snug environment,0,,
amplify warm setting,0,,
boost inviting space,0,,
it’s bright enough,0,,
sufficient illumination,0,,
adequate brightness,0,,
satisfactory glow,0,,
acceptable radiance,0,,
passable luminosity,0,,
make the room dimmer,0,,
reduce space illumination,0,,
lower area brightness,0,,
decrease environment glow,0,,
subdue chamber radiance,0,,
mute enclosure luminosity,0,,
take a break,0,,
pause illumination,0,,
interrupt brightness,0,,
halt glow temporarily,0,,
suspend radiance briefly,0,,
cease luminosity momentarily,0,,
brightness is a bit much,0,,
illumination slightly excessive,0,,
luminosity somewhat overwhelming,0,,
glow moderately intense,0,,
radiance reasonably strong,0,,
brightness fairly extreme,0,,
room go dark,0,,
space enter blackness,0,,
area become obscured,0,,
environment turn gloomy,0,,
chamber shift shadowy,0,,
enclosure transition dim,0,,
making too hot,0,,
generating excess heat,0,,
producing uncomfortable warmth,0,,
creating overheating,0,,
causing temperature rise,0,,
inducing thermal discomfort,0,,
the natural brightness is enough,0,,
ambient light suffices,0,,
environmental illumination adequate,0,,
existing glow sufficient,0,,
present radiance ample,0,,
available luminosity plenty,0,,
too glaring for my eyes,0,,
painfully bright for vision,0,,
excessively luminous for optics,0,,
overpoweringly radiant for sight,0,,
uncomfortably shiny for pupils,0,,
harshly brilliant for retinas,0,,
glow from outside,0,,
external radiance,0,,
outdoor luminosity,0,,
exterior illumination,0,,
outside brightness,0,,
out-of-doors shine,0,,
shadows would be nice,0,,
darkness would be pleasant,0,,
obscurity would be welcome,0,,
dimness would be agreeable,0,,
gloom would be delightful,0,,
shade would be appealing,0,,
time to wind down,0,,
period to relax,0,,
moment to decompress,0,,
phase to unwind,0,,
interval to calm,0,,
juncture to mellow,0,,
turn down the brightness,0,,
reduce illumination level,0,,
decrease luminosity intensity,0,,
lower glow magnitude,0,,
diminish radiance strength,0,,
soften brightness degree,0,,
it’s already too bright,0,,
illumination is currently excessive,0,,
brightness is presently overpowering,0,,
glow is now extreme,0,,
radiance is currently intense,0,,
luminosity is already glaring,0,,
take the rest already,0,,
cease illumination now,0,,
halt brightness immediately,0,,
stop glow at once,0,,
end radiance promptly,0,,
terminate luminosity forthwith,0,,
make the room dark,0,,
blacken the space,0,,
obscure the area,0,,
shroud the environment,0,,
cloak the chamber,0,,
shadow the enclosure,0,,
turn on the light,1,,
activate the illumination,1,,
power up the bulb,1,,
energize the lighting,1,,
initiate the glow,1,,
start the radiance,1,,
switch on the light,1,,
toggle the illumination,1,,
engage the brightness,1,,
flip the glow,1,,
connect the radiance,1,,
launch the luminosity,1,,
please turn the light on,1,,
kindly power the bulb,1,,
politely energize the glow,1,,
courteously initiate brightness,1,,
gently activate radiance,1,,
respectfully commence illumination,1,,
light on,1,,
illumination active,1,,
brightness enabled,1,,
glow initiated,1,,
radiance operational,1,,
luminosity engaged,1,,
can you switch on the light,1,,
could you power the bulb,1,,
would you engage the glow,1,,
might you launch brightness,1,,
are you able to activate radiance,1,,
is it possible to start illumination,1,,
it's dark here,1,,
this area lacks light,1,,
shadows dominate this space,1,,
obscurity fills the vicinity,1,,
gloom pervades the location,1,,
blackness envelops this spot,1,,
i can't see anything,1,,
vision is impossible,1,,
blindness prevails,1,,
surroundings are invisible,1,,
optics detect nothing,1,,
eyesight fails completely,1
room is dark,1,,
space lacks illumination,1
area is unlit,1,,
enclosure is shadowed,1
chamber has no brightness,1
environment is gloomy,1,,
i need some light,1,,
require illumination,1,,
demand brightness,1,,
request glow,1,,
necessitate radiance,1,,
call for luminosity,1,,
make it brighter,1,,
amplify illumination,1,,
intensify brightness,1,,
enhance glow,1,,
boost radiance,1,,
escalate luminosity,1,,
start the light,1,,
commence illumination,1,,
initiate brightness,1,,
begin the glow,1,,
launch radiance,1,,
activate luminosity,1,,
light the room,1,,
brighten the space,1,,
illuminate the area,1,,
radiate the enclosure,1,,
glow the chamber,1,,
shine the environment,1,,
illuminate the room,1,,
light up the area,1,,
irradiate the enclosure,1,,
luminance the chamber,1,,
beam the environment,1,,
power up the light,1,,
energize the bulb,1,,
activate the glow,1,,
electrify the luminosity,1,,
initiate the beam,1,,
enable the light,1,,
switch on brightness,1,,
authorize glow,1,,
permit radiance,1,,
allow luminosity,1,,
make the light glow,1,,
cause the bulb to shine,1,,
produce illumination,1,,
generate radiance,1,,
create brightness,1,,
emit luminosity,1,,
i need brightness,1,,
require luminosity,1,,
demand radiance,1,,
seek illumination,1,,
crave glow,1,,
necessitate visibility,1,,
let there be light,1,,
allow illumination,1,,
permit brightness,1,,
command glow,1,,
decree radiance,1,,
ordain luminosity,1,,
switch on light.,1,,
power up brightness,1,,
energize glow,1,,
initiate radiance,1,,
start luminosity,1,,
turn light,1,,
adjust illumination,1,,
modify brightness,1,,
change glow,1,,
alter radiance,1,,
shift luminosity,1,,
wake up light,1,,
rouse the bulb,1,,
activate the fixture,1,,
revive the radiance,1,,
stimulate the luminosity,1,,
initialize the light,1,,
boot up illumination,1,,
start up brightness,1,,
launch glow,1,,
commence radiance,1,,
everyone is there light on,1,,
all present  activate illumination,1,,
assembly complete enable brightness,1,,
crowd gathered  initiate glow,1,,
attendees here  commence radiance,1,,
group assembled  start luminosity,1,,
begin the light,1,,
start brightness,1,,
launch the light,1,,
start the illumination,1,,
initiate the brightness,1,,
fire up the luminosity,1,,
radiate the light,1,,
emit illumination,1,,
project brightness,1,,
shine glow,1,,
beam radiance,1,,
diffuse luminosity,1,,
ignite the light,1,,
fire up the bulb,1,,
spark the glow,1,,
kindle the radiance,1,,
trigger the beam,1,,
shine the bulb.,1,,
illuminate with the globe,1,,
brighten via the filament,1,,
glow using the LED,1,,
radiate through the incandescent,1,,
beam with the halogen,1,,
glitter the bulb,1,,
make the filament sparkle,1,,
cause the globe to shimmer,1,,
have the LED glisten,1,,
let the incandescent twinkle,1,,
allow the halogen to gleam,1,,
on light,1,,
illumination enabled,1,,
brightness activated,1,,
glow operational,1,,
radiance initiated,1,,
luminosity running,1,,
pushing on the light,1,,
pressing to activate illumination,1,,
engaging to start brightness,1,,
forcing glow initiation,1,,
compelling radiance,1,,
urging luminosity,1,,
trigger the bulb,1,,
activate the filament,1,,
fire up the globe,1,,
start the LED,1,,
ignite the incandescent,1,,
launch the halogen,1,,
energize the light,1,,
power the illumination,1,,
electrify brightness,1,,
charge the radiance,1,,
voltage the luminosity,1,,
power the filament,1,,
electrify the globe,1,,
charge the incandescent,1,,
voltage the halogen,1,,
activate the light,1,,
enable illumination,1,,
bloom the light,1,,
flower the illumination,1,,
blossom brightness,1,,
unfold glow,1,,
open radiance,1,,
flourish luminosity,1,,
spot the light,1,,
focus illumination,1,,
direct brightness,1,,
highlight glow,1,,
target radiance,1,,
pinpoint luminosity,1,,
flame the light,1,,
fire the illumination,1,,
blaze brightness,1,,
torch glow,1,,
burn radiance,1,,
kindle luminosity,1,,
it’s too dark,1,,
obscurity is excessive,1,,
gloom is overwhelming,1,,
blackness is extreme,1,,
shadows are intense,1,,
murk is unbearable,1,,
vibe in,1,,
atmosphere activate,1,,
mood commence,1,,
ambiance begin,1,,
energy initiate,1,,
aura launch,1,,
it’s evening,1,,
twilight time,1,,
dusk period,1,,
nightfall phase,1,,
sunset interval,1,,
nocturnal commencement,1,,
it’s scary,1,,
frightening atmosphere,1,,
alarming environment,1,,
terrifying obscurity,1,,
chilling gloom,1,,
horrifying darkness,1,,
dark everywhere,1,,
universal blackness,1,,
omnipresent gloom,1,,
total obscurity,1,,
complete shadow,1,,
pervasive murk,1,,
it’s rainy light on,1,,
stormy weather  activate illumination,1,,
downpour occurring  enable brightness,1,,
precipitation falling  initiate glow,1,,
wet conditions  commence radiance,1,,
rainy atmosphere  start luminosity,1,,
not visible,1,,
impossible to see,1,,
vision obstructed,1,,
sight blocked,1,,
optics impaired,1,,
view nonexistent,1,,
I need light,1,,
I need to work light on,1,,
task requires illumination,1,,
labor demands brightness,1,,
job needs glow,1,,
work necessitates radiance,1,,
activity calls for luminosity,1,,
it’s darker,1,,
increased obscurity,1,,
deepened gloom,1,,
heightened blackness,1,,
intensified shadow,1,,
amplified murk,1,,
bright the room,1,,
lighten the area,1,,
flash on,1,,
instant illumination,1,,
sudden brightness,1,,
immediate glow,1,,
abrupt radiance,1,,
instantaneous luminosity,1,,
glow up,1,,
illuminate brightly,1,,
shine intensely,1,,
radiate strongly,1,,
beam powerfully,1,,
luminosity amplify,1,,
make the room bright,1,,
reduce gloom in enclosure,1,,
decrease shadows in chamber,1,,
increase visibility in environment,1,,
out fire the space,1,,
ignite radiance in zone,1,,
activate glow in vicinity,1,,
beam luminosity in place,1,,
the room is dim,1,,
space has low light,1,,
area is poorly lit,1,,
enclosure is shadowy,1,,
chamber is dusky,1,,
my eyes are dark,1,,
vision is obscured,1,,
sight is limited,1,,
optics require light,1,,
pupils need brightness,1,,
retinas lack illumination,1,,
make the room to spot,1,,
transform space to visibility,1,,
convert area to clarity,1,,
alter enclosure to illumination,1,,
adapt chamber to brightness,1,,
modify environment to radiance,1,,
turn off the fan,2,,
Power down the fan immediately.,2,,
Deactivate the fan's operation.,2,,
Cut power to the fan.,2,,
Shut the fan off.,2,,
Stop the fan from running.,2,,
switch off the fan,2,,
"Flip the fan's switch to ""off.""",2,,
Disable the fan at the controls.,2,,
Kill the fan's power supply.,2,,
Turn the fan off using the switch.,2,,
Ensure the fan is switched off.,2,,
please stop the fan,2,,
Halt the fan  if you would.,2,,
Cease the fan's motion please,2,,
Bring the fan to a stop.,2,,
I request that you stop the fan.,2,,
End the fan's operation kindly.,2,,
fan off,2,,
"Set the fan to ""off.""",2,,
The fan needs to be off.,2,,
No fan activity please,2,,
Fan status: off.,2,,
Ensure the fan is deactivated.,2,,
can you stop the fan,2,,
Could you halt the fan?,2,,
Is stopping the fan possible?,2,,
Would you mind stopping the fan?,2,,
Can the fan be stopped?,2,,
Please stop the fan if able.,2,,
no more fan,2,,
Cease all fan usage.,2,,
Zero fan action from now on.,2,,
End the fan permanently.,2,,
Absolutely no fan operation.,2,,
Fan activity must stop entirely.,2,,
stop the fan now,2,,
Immediately cease the fan.,2,,
Halt the fan this instant.,2,,
Right now  stop the fan.,2,,
Instant fan termination required.,2,,
Stop the fan without delay.,2,,
shut down the fan,2,,
Terminate the fan's operation.,2,,
Power off the fan completely.,2,,
Kill the fan system.,2,,
Close the fan's functions.,2,,
Disable the fan entirely.,2,,
cut the fan,2,,
Sever the fan's power.,2,,
Interrupt the fan abruptly.,2,,
Disconnect the fan.,2,,
Chop the airflow now.,2,,
Break the fan's operation.,2,,
turn off fan,2,,
Deactivate the fan.,2,,
Power down fan operation.,2,,
Switch the fan off.,2,,
End the fan's activity.,2,,
switch off,2,,
Power down now.,2,,
Disconnect the device.,2,,
Kill the switch.,2,,
Turn off immediately.,2,,
Deactivate at once.,2,,
off fan,2,,
Fan: deactivated.,2,,
Set fan to inactive.,2,,
No-power fan mode.,2,,
Dormant fan state.,2,,
deactivate the fan,2,,
Disable the fan's function.,2,,
Render the fan inactive.,2,,
Kill the fan's activity.,2,,
put the fan,2,,
"Place the fan in ""off"" mode.",2,,
Set the fan to idle.,2,,
Position the fan as inactive.,2,,
Leave the fan off.,2,,
Assign off status to the fan.,2,,
make the fan static,2,,
Immobilize the fan blades.,2,,
Freeze the fan's position.,2,,
Halt all fan movement.,2,,
Keep the fan stationary.,2,,
no fan,2,,
Cease fan entirely.,2,,
Zero fan operation.,2,,
Absence of fan activity.,2,,
Terminate the fan.,2,,
Fanless state required.,2,,
wings off the fan,2,,
Stop the fan blades.,2,,
Halt the propellers.,2,,
Cease fan rotation.,2,,
Freeze the fan arms.,2,,
Immobilize the fan wings.,2,,
end fan,2,,
Conclude fan operation.,2,,
Terminate the fan now.,2,,
Finish with the fan.,2,,
Cease all fan activity.,2,,
terminate the fan,2,,
End the fan permanently.,2,,
Abort fan function.,2,,
Eliminate the fan's activity.,2,,
Stop the fan conclusively.,2,,
wind up fan,2,,
Wrap up fan operation.,2,,
Conclude the fan's use.,2,,
Close down the fan.,2,,
Complete fan deactivation.,2,,
cease the fan,2,,
Stop the fan entirely.,2,,
Discontinue fan operation.,2,,
Desist from fan usage.,2,,
finish the fan,2,,
Conclude the fan's run.,2,,
End fan activity.,2,,
Wrap up the fan.,2,,
close the fan,2,,
Seal off fan operation.,2,,
Cover the fan controls.,2,,
End the fan's functions.,2,,
lay off the fan,2,,
Stop using the fan.,2,,
Give the fan a rest.,2,,
Halt the fan indefinitely.,2,,
discontinue the fan,2,,
Stop the fan permanently.,2,,
Abandon fan operation.,2,,
break off fan,2,,
Stop the fan suddenly.,2,,
Sever fan activity.,2,,
cancel the fan,2,,
Abort the fan.,2,,
Nullify fan operation.,2,,
Revoke fan activity.,2,,
Call off the fan.,2,,
kill fan,2,,
Destroy fan operation.,2,,
Stop the fan dead.,2,,
Slay the fan's power.,2,,
cutoff fan,2,,
Isolate the fan.,2,,
Stop airflow abruptly.,2,,
drop fan,2,,
Let go of the fan.,2,,
Release fan control.,2,,
Omit fan usage.,2,,
pause fan,2,,
Suspend fan operation.,2,,
Temporarily stop the fan.,2,,
Freeze the fan for now.,2,,
resist the fan,2,,
Oppose fan operation.,2,,
Reject the fan's airflow.,2,,
Withstand the fan.,2,,
Refuse fan usage.,2,,
it’s rainy off the fan,2,,
Stop the fan due to rain.,2,,
Wet conditions: turn fan off.,2,,
Rainy weather requires no fan.,2,,
Dampness means shutdown the fan.,2,,
let the fan be quit,2,,
Allow the fan to rest.,2,,
Permit fan cessation.,2,,
Enable fan shutdown.,2,,
make the blow off,2,,
Stop the gust from the fan.,2,,
End the draft immediately.,2,,
Halt the wind output.,2,,
Kill the breeze.,2,,
it's too cold now,2,,
The temperature is frigid.,2,,
It's excessively chilly.,2,,
Unbearable cold now.,2,,
This room is icy.,2,,
Hypothermic conditions here.,2,,
i'm freezing,2,,
I feel like I'm icing over.,2,,
I'm chilled to the bone.,2,,
Freezing temperatures affect me.,2,,
I'm shivering intensely.,2,,
air is too much,2,,
Excessive airflow here.,2,,
Overpowering wind from the fan.,2,,
Too much air circulation.,2,,
The breeze is overwhelming.,2,,
Reduce the air intensity.,2,,
i feel chilly,2,,
I'm experiencing chills.,2,,
A cold sensation here.,2,,
I'm cool and uncomfortable.,2,,
Brisk air is affecting me.,2,,
I need warmth soon.,2,,
wind is strong,2,,
Forceful breeze in here.,2,,
Gusty air from the fan.,2,,
Intense draft overwhelming me.,2,,
Powerful airflow present.,2,,
Hurricane-like wind conditions.,2,,
it's too breezy,2,,
Drafty room discomfort.,2,,
Windy conditions here.,2,,
Blustery air overwhelming.,2,,
Over-ventilated space.,2,,
Uncomfortably airy environment.,2,,
its too chill,2,,
Frigid atmosphere.,2,,
Frosty environment.,2,,
Icy conditions now.,2,,
Nippy beyond comfort.,2,,
make me warm,2,,
Warm me up immediately.,2,,
Provide heat for me.,2,,
Increase my body temperature.,2,,
Thaw me out please,2,,
Comfort me thermally.,2,,
make the space warm,2,,
Heat the room up.,2,,
Warm this environment.,2,,
Raise the room temperature.,2,,
Cozy up the space.,2,,
Provide thermal comfort.,2,,
make the room warm,2,,
Heat this area now.,2,,
Warm the room quickly.,2,,
Boost the room's temperature.,2,,
Create a cozy atmosphere.,2,,
Thermal adjustment needed.,2,,
make the room hot,2,,
Overheat the room if needed.,2,,
Scorching temperature required.,2,,
Blazing heat requested.,2,,
Sweltering conditions desired.,2,,
Sauna-like environment.,2,,
I need warm,2,,
I require heat.,2,,
Warmth is necessary.,2,,
Crave coziness now.,2,,
Demand higher temperature.,2,,
Seek thermal relief.,2,,
I am in fridge,2,,
Freezer-like conditions.,2,,
Feels like a refrigerator.,2,,
Arctic vibes here.,2,,
Sub-zero environment.,2,,
Icebox-level cold.,2,,
I am thinking I am in Antarctic,2,,
Polar experience here.,2,,
